Unnamed: 0,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound, Label
101418,172.16.0.5-192.168.50.1-43443-6652-17,172.16.0.5,43443,192.168.50.1,6652,17,36:57.6,218395,6,0,2088,0,393,321,348,35.08845964,0,0,0,0,9560.65844,27.47315644,43679,59812.24696,110075,0,218395,43679,59812.24696,110075,0,0,0,0,0,0,0,0,0,0,-6,0,27.47315644,0,321,393,344.1428571,33.61759743,1130.142857,0,0,0,0,0,0,0,0,0,401.5,348,0,-6,0,0,0,0,0,0,6,2088,0,0,-1,-1,5,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
21564,172.16.0.5-192.168.50.1-54741-9712-17,172.16.0.5,54741,192.168.50.1,9712,17,36:57.6,108219,4,0,1398,0,369,330,349.5,22.5166605,0,0,0,0,12918.24911,36.96208614,36073,62478.53673,108217,1,108219,36073,62478.53673,108217,1,0,0,0,0,0,0,0,0,0,-4,0,36.96208614,0,330,369,345.6,21.36117974,456.3,0,0,0,0,0,0,0,0,0,432,349.5,0,-4,0,0,0,0,0,0,4,1398,0,0,-1,-1,3,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
23389,172.16.0.5-192.168.50.1-56589-4680-17,172.16.0.5,56589,192.168.50.1,4680,17,36:57.6,104579,4,0,1438,0,389,330,359.5,34.06366588,0,0,0,0,13750.37053,38.24859675,34859.66667,60376.98175,104577,1,104579,34859.66667,60376.98175,104577,1,0,0,0,0,0,0,0,0,0,-4,0,38.24859675,0,330,389,353.6,32.31563089,1044.3,0,0,0,0,0,0,0,0,0,442,359.5,0,-4,0,0,0,0,0,0,4,1438,0,0,-1,-1,3,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
48872,172.16.0.5-192.168.50.1-40233-2644-17,172.16.0.5,40233,192.168.50.1,2644,17,36:57.6,110967,4,0,1544,0,389,383,386,3.464101615,0,0,0,0,13914.04652,36.04675264,36989,64065.09527,110965,1,110967,36989,64065.09527,110965,1,0,0,0,0,0,0,0,0,0,-4,0,36.04675264,0,383,389,386.6,3.286335345,10.8,0,0,0,0,0,0,0,0,0,483.25,386,0,-4,0,0,0,0,0,0,4,1544,0,0,-1,-1,3,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
80354,172.16.0.5-192.168.50.1-33989-16901-17,172.16.0.5,33989,192.168.50.1,16901,17,36:57.6,1,2,0,766,0,383,383,383,0,0,0,0,0,7.66E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,383,383,383,0,0,0,0,0,0,0,0,0,0,0,574.5,383,0,-2,0,0,0,0,0,0,2,766,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
85311,172.16.0.5-192.168.50.1-54768-57581-17,172.16.0.5,54768,192.168.50.1,57581,17,36:57.6,109952,4,0,1446,0,393,330,361.5,36.37306696,0,0,0,0,13151.19325,36.37951106,36650.66667,63479.08475,109950,1,109952,36650.66667,63479.08475,109950,1,0,0,0,0,0,0,0,0,0,-4,0,36.37951106,0,330,393,355.2,34.50652112,1190.7,0,0,0,0,0,0,0,0,0,444,361.5,0,-4,0,0,0,0,0,0,4,1446,0,0,-1,-1,3,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
55736,172.16.0.5-192.168.50.1-58417-6927-17,172.16.0.5,58417,192.168.50.1,6927,17,36:57.6,770657,16,0,5940,0,401,330,371.25,26.4159043,0,0,0,0,7707.709136,20.76150609,51377.13333,56847.72759,111031,0,770657,51377.13333,56847.72759,111031,0,0,0,0,0,0,0,0,0,0,-16,0,20.76150609,0,330,401,372.5294118,26.11541127,682.0147059,0,0,0,0,0,0,0,0,0,395.8125,371.25,0,-16,0,0,0,0,0,0,16,5940,0,0,-1,-1,15,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
93075,172.16.0.5-192.168.50.1-58450-9815-17,172.16.0.5,58450,192.168.50.1,9815,17,36:57.6,212482,6,0,2088,0,393,321,348,35.08845964,0,0,0,0,9826.714733,28.23768602,42496.4,58238.06781,109612,1,212482,42496.4,58238.06781,109612,1,0,0,0,0,0,0,0,0,0,-6,0,28.23768602,0,321,393,344.1428571,33.61759743,1130.142857,0,0,0,0,0,0,0,0,0,401.5,348,0,-6,0,0,0,0,0,0,6,2088,0,0,-1,-1,5,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
11999,172.16.0.5-192.168.50.1-50402-7375-17,172.16.0.5,50402,192.168.50.1,7375,17,36:57.6,107419,4,0,1398,0,369,330,349.5,22.5166605,0,0,0,0,13014.45741,37.23736024,35806.33333,62016.65652,107417,1,107419,35806.33333,62016.65652,107417,1,0,0,0,0,0,0,0,0,0,-4,0,37.23736024,0,330,369,345.6,21.36117974,456.3,0,0,0,0,0,0,0,0,0,432,349.5,0,-4,0,0,0,0,0,0,4,1398,0,0,-1,-1,3,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
91182,172.16.0.5-192.168.50.1-58792-38270-17,172.16.0.5,58792,192.168.50.1,38270,17,36:57.6,105770,4,0,1398,0,369,330,349.5,22.5166605,0,0,0,0,13217.35842,37.81790678,35256.66667,61025.63893,105723,1,105770,35256.66667,61025.63893,105723,1,0,0,0,0,0,0,0,0,0,-4,0,37.81790678,0,330,369,345.6,21.36117974,456.3,0,0,0,0,0,0,0,0,0,432,349.5,0,-4,0,0,0,0,0,0,4,1398,0,0,-1,-1,3,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
34713,172.16.0.5-192.168.50.1-41057-28885-17,172.16.0.5,41057,192.168.50.1,28885,17,36:57.6,218586,6,0,2088,0,393,321,348,35.08845964,0,0,0,0,9552.304356,27.44915045,43717.2,59867.88511,110545,0,218586,43717.2,59867.88511,110545,0,0,0,0,0,0,0,0,0,0,-6,0,27.44915045,0,321,393,344.1428571,33.61759743,1130.142857,0,0,0,0,0,0,0,0,0,401.5,348,0,-6,0,0,0,0,0,0,6,2088,0,0,-1,-1,5,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
100289,172.16.0.5-192.168.50.1-46875-62674-17,172.16.0.5,46875,192.168.50.1,62674,17,36:57.6,110038,4,0,1446,0,393,330,361.5,36.37306696,0,0,0,0,13140.91496,36.35107872,36679.33333,63528.73687,110036,1,110038,36679.33333,63528.73687,110036,1,0,0,0,0,0,0,0,0,0,-4,0,36.35107872,0,330,393,355.2,34.50652112,1190.7,0,0,0,0,0,0,0,0,0,444,361.5,0,-4,0,0,0,0,0,0,4,1446,0,0,-1,-1,3,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
841,172.16.0.5-192.168.50.1-41431-12642-17,172.16.0.5,41431,192.168.50.1,12642,17,36:57.6,1,2,0,750,0,375,375,375,0,0,0,0,0,7.50E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,375,375,375,0,0,0,0,0,0,0,0,0,0,0,562.5,375,0,-2,0,0,0,0,0,0,2,750,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
55745,172.16.0.5-192.168.50.1-41291-25073-17,172.16.0.5,41291,192.168.50.1,25073,17,36:57.6,2,2,0,802,0,401,401,401,0,0,0,0,0,4.01E+08,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,-2,0,1000000,0,401,401,401,0,0,0,0,0,0,0,0,0,0,0,601.5,401,0,-2,0,0,0,0,0,0,2,802,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
67171,172.16.0.5-192.168.50.1-58449-18940-17,172.16.0.5,58449,192.168.50.1,18940,17,36:57.6,214133,6,0,2088,0,393,321,348,35.08845964,0,0,0,0,9750.949176,28.0199689,42826.6,58650.76982,109712,1,214133,42826.6,58650.76982,109712,1,0,0,0,0,0,0,0,0,0,-6,0,28.0199689,0,321,393,344.1428571,33.61759743,1130.142857,0,0,0,0,0,0,0,0,0,401.5,348,0,-6,0,0,0,0,0,0,6,2088,0,0,-1,-1,5,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
7674,172.16.0.5-192.168.50.1-44585-34264-17,172.16.0.5,44585,192.168.50.1,34264,17,36:57.6,1,2,0,750,0,375,375,375,0,0,0,0,0,7.50E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,375,375,375,0,0,0,0,0,0,0,0,0,0,0,562.5,375,0,-2,0,0,0,0,0,0,2,750,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
48299,172.16.0.5-192.168.50.1-42010-24494-17,172.16.0.5,42010,192.168.50.1,24494,17,36:57.6,47,2,0,738,0,369,369,369,0,0,0,0,0,1.57E+07,42553.19149,47,0,47,47,47,47,0,47,47,0,0,0,0,0,0,0,0,0,-2,0,42553.19149,0,369,369,369,0,0,0,0,0,0,0,0,0,0,0,553.5,369,0,-2,0,0,0,0,0,0,2,738,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
49444,172.16.0.5-192.168.50.1-50747-34317-17,172.16.0.5,50747,192.168.50.1,34317,17,36:57.6,109868,4,0,1446,0,393,330,361.5,36.37306696,0,0,0,0,13161.24804,36.40732515,36622.66667,63430.58732,109866,1,109868,36622.66667,63430.58732,109866,1,0,0,0,0,0,0,0,0,0,-4,0,36.40732515,0,330,393,355.2,34.50652112,1190.7,0,0,0,0,0,0,0,0,0,444,361.5,0,-4,0,0,0,0,0,0,4,1446,0,0,-1,-1,3,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
43608,172.16.0.5-192.168.50.1-54770-30029-17,172.16.0.5,54770,192.168.50.1,30029,17,36:57.6,109809,4,0,1446,0,393,330,361.5,36.37306696,0,0,0,0,13168.31954,36.42688669,36603,63396.52366,109807,1,109809,36603,63396.52366,109807,1,0,0,0,0,0,0,0,0,0,-4,0,36.42688669,0,330,393,355.2,34.50652112,1190.7,0,0,0,0,0,0,0,0,0,444,361.5,0,-4,0,0,0,0,0,0,4,1446,0,0,-1,-1,3,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
103568,172.16.0.5-192.168.50.1-50407-10055-17,172.16.0.5,50407,192.168.50.1,10055,17,36:57.6,1,2,0,750,0,375,375,375,0,0,0,0,0,7.50E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,375,375,375,0,0,0,0,0,0,0,0,0,0,0,562.5,375,0,-2,0,0,0,0,0,0,2,750,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,DrDoS_UDP
