Unnamed: 0,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound, Label
46970,172.16.0.5-192.168.50.1-64670-64670-6,172.16.0.5,64670,192.168.50.1,64670,6,34:27.4,13120080,4,0,0,0,0,0,0,0,0,0,0,0,0,0.30487619,4373360,7574879.988,13120078,1,13120080,4373360,7574879.988,13120078,1,0,0,0,0,0,0,0,0,0,80,0,0.30487619,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,0,0,0,0,0,0,4,0,0,0,5840,-1,0,20,1,0,1,1,13120078,0,13120078,13120078,0,1,TFTP
164775,172.16.0.5-192.168.50.1-16405-16405-6,172.16.0.5,16405,192.168.50.1,16405,6,34:27.4,3990342,4,0,0,0,0,0,0,0,0,0,0,0,0,1.002420344,1330114,2303823.296,3990340,1,3990342,1330114,2303823.296,3990340,1,0,0,0,0,0,0,0,0,0,80,0,1.002420344,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,0,0,0,0,0,0,4,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,TFTP
177893,172.16.0.5-192.168.50.1-45838-45838-6,172.16.0.5,45838,192.168.50.1,45838,6,34:27.4,11842236,4,0,0,0,0,0,0,0,0,0,0,0,0,0.337774049,3947412,6837116.41,11842234,1,11842236,3947412,6837116.41,11842234,1,0,0,0,0,0,0,0,0,0,80,0,0.337774049,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,0,0,0,0,0,0,4,0,0,0,5840,-1,0,20,1,0,1,1,11842234,0,11842234,11842234,0,1,TFTP
82756,172.16.0.5-192.168.50.1-27049-27049-6,172.16.0.5,27049,192.168.50.1,27049,6,34:27.4,3579644,4,0,0,0,0,0,0,0,0,0,0,0,0,1.117429554,1193214.667,2066707.561,3579643,0,3579644,1193214.667,2066707.561,3579643,0,0,0,0,0,0,0,0,0,0,80,0,1.117429554,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,0,0,0,0,0,0,4,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,TFTP
153782,172.16.0.5-192.168.50.1-43305-27049-6,172.16.0.5,43305,192.168.50.1,27049,6,34:27.4,90,2,2,0,0,0,0,0,0,0,0,0,0,0,44444.44444,30,50.22947342,88,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,40,40,22222.22222,22222.22222,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,40,0,0,0,0,0,0,2,0,2,0,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,TFTP
77953,172.16.0.5-192.168.50.1-43306-45874-6,172.16.0.5,43306,192.168.50.1,45874,6,34:27.4,48,2,0,0,0,0,0,0,0,0,0,0,0,0,41666.66667,48,0,48,48,48,48,0,48,48,0,0,0,0,0,0,0,0,0,40,0,41666.66667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,TFTP
48606,172.16.0.5-192.168.50.1-61752-1336-6,172.16.0.5,61752,192.168.50.1,1336,6,34:27.4,11841882,4,0,0,0,0,0,0,0,0,0,0,0,0,0.337784146,3947294,6836912.028,11841880,1,11841882,3947294,6836912.028,11841880,1,0,0,0,0,0,0,0,0,0,80,0,0.337784146,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,0,0,0,0,0,0,4,0,0,0,5840,-1,0,20,1,0,1,1,11841880,0,11841880,11841880,0,1,TFTP
44478,172.16.0.5-192.168.50.1-12163-12163-6,172.16.0.5,12163,192.168.50.1,12163,6,34:27.4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,TFTP
159680,172.16.0.5-192.168.50.1-43307-11863-6,172.16.0.5,43307,192.168.50.1,11863,6,34:27.4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,TFTP
28642,172.16.0.5-192.168.50.1-43308-59941-6,172.16.0.5,43308,192.168.50.1,59941,6,34:27.4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1,TFTP
