Unnamed: 0,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound, Label
186059,172.16.0.5-192.168.50.1-58445-4463-17,172.16.0.5,58445,192.168.50.1,4463,17,04:45.9,1,2,0,766,0,383,383,383,0,0,0,0,0,7.66E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,383,383,383,0,0,0,0,0,0,0,0,0,0,0,574.5,383,0,-2,0,0,0,0,0,0,2,766,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,UDP-lag
135692,172.16.0.5-192.168.50.1-36908-9914-17,172.16.0.5,36908,192.168.50.1,9914,17,04:45.9,1,2,0,778,0,389,389,389,0,0,0,0,0,7.78E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,389,389,389,0,0,0,0,0,0,0,0,0,0,0,583.5,389,0,-2,0,0,0,0,0,0,2,778,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,UDP-lag
33822,172.16.0.5-192.168.50.1-41727-32361-17,172.16.0.5,41727,192.168.50.1,32361,17,04:45.9,2,2,0,750,0,375,375,375,0,0,0,0,0,3.75E+08,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,-2,0,1000000,0,375,375,375,0,0,0,0,0,0,0,0,0,0,0,562.5,375,0,-2,0,0,0,0,0,0,2,750,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,UDP-lag
24498,172.16.0.5-192.168.50.1-55447-5691-17,172.16.0.5,55447,192.168.50.1,5691,17,04:45.9,2,2,0,738,0,369,369,369,0,0,0,0,0,3.69E+08,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,-2,0,1000000,0,369,369,369,0,0,0,0,0,0,0,0,0,0,0,553.5,369,0,-2,0,0,0,0,0,0,2,738,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,UDP-lag
117372,172.16.0.5-192.168.50.1-58794-56335-17,172.16.0.5,58794,192.168.50.1,56335,17,04:45.9,1,2,0,750,0,375,375,375,0,0,0,0,0,7.50E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,375,375,375,0,0,0,0,0,0,0,0,0,0,0,562.5,375,0,-2,0,0,0,0,0,0,2,750,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,UDP-lag
250173,172.16.0.5-192.168.50.1-48002-57615-17,172.16.0.5,48002,192.168.50.1,57615,17,04:45.9,106422,4,0,1438,0,389,330,359.5,34.06366588,0,0,0,0,13512.24371,37.58621338,35474,61441.0383,106420,1,106422,35474,61441.0383,106420,1,0,0,0,0,0,0,0,0,0,-4,0,37.58621338,0,330,389,353.6,32.31563089,1044.3,0,0,0,0,0,0,0,0,0,442,359.5,0,-4,0,0,0,0,0,0,4,1438,0,0,-1,-1,3,-1,0,0,0,0,0,0,0,0,0,1,UDP-lag
170534,172.16.0.5-192.168.50.1-51718-34159-17,172.16.0.5,51718,192.168.50.1,34159,17,04:45.9,1,2,0,778,0,389,389,389,0,0,0,0,0,7.78E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,389,389,389,0,0,0,0,0,0,0,0,0,0,0,583.5,389,0,-2,0,0,0,0,0,0,2,778,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,UDP-lag
223983,172.16.0.5-192.168.50.1-55448-12269-17,172.16.0.5,55448,192.168.50.1,12269,17,04:45.9,1,2,0,738,0,369,369,369,0,0,0,0,0,7.38E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,369,369,369,0,0,0,0,0,0,0,0,0,0,0,553.5,369,0,-2,0,0,0,0,0,0,2,738,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,UDP-lag
333455,172.16.0.5-192.168.50.1-58793-36639-17,172.16.0.5,58793,192.168.50.1,36639,17,04:45.9,1,2,0,750,0,375,375,375,0,0,0,0,0,7.50E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,375,375,375,0,0,0,0,0,0,0,0,0,0,0,562.5,375,0,-2,0,0,0,0,0,0,2,750,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,UDP-lag
23583,172.16.0.5-192.168.50.1-35276-36368-17,172.16.0.5,35276,192.168.50.1,36368,17,04:45.9,989278,20,0,7242,0,401,321,362.1,30.12762328,0,0,0,0,7320.490297,20.21676415,52067.26316,56392.7458,112381,1,989278,52067.26316,56392.7458,112381,1,0,0,0,0,0,0,0,0,0,-20,0,20.21676415,0,321,401,360.1428571,30.70388528,942.7285714,0,0,0,0,0,0,0,0,0,378.15,362.1,0,-20,0,0,0,0,0,0,20,7242,0,0,-1,-1,19,-1,0,0,0,0,0,0,0,0,0,1,UDP-lag
57727,172.16.0.5-192.168.50.1-60389-31463-17,172.16.0.5,60389,192.168.50.1,31463,17,04:45.9,218520,6,0,2088,0,393,321,348,35.08845964,0,0,0,0,9555.189456,27.45744097,43704,59842.938,109442,1,218520,43704,59842.938,109442,1,0,0,0,0,0,0,0,0,0,-6,0,27.45744097,0,321,393,344.1428571,33.61759743,1130.142857,0,0,0,0,0,0,0,0,0,401.5,348,0,-6,0,0,0,0,0,0,6,2088,0,0,-1,-1,5,-1,0,0,0,0,0,0,0,0,0,1,UDP-lag
22903,172.16.0.5-192.168.50.1-39381-53349-17,172.16.0.5,39381,192.168.50.1,53349,17,04:45.9,110083,4,0,1446,0,393,330,361.5,36.37306696,0,0,0,0,13135.54318,36.33621903,36694.33333,63513.15295,110033,1,110083,36694.33333,63513.15295,110033,1,0,0,0,0,0,0,0,0,0,-4,0,36.33621903,0,330,393,355.2,34.50652112,1190.7,0,0,0,0,0,0,0,0,0,444,361.5,0,-4,0,0,0,0,0,0,4,1446,0,0,-1,-1,3,-1,0,0,0,0,0,0,0,0,0,1,UDP-lag
223936,172.16.0.5-192.168.50.1-36067-46692-17,172.16.0.5,36067,192.168.50.1,46692,17,04:45.9,1,2,0,766,0,383,383,383,0,0,0,0,0,7.66E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,383,383,383,0,0,0,0,0,0,0,0,0,0,0,574.5,383,0,-2,0,0,0,0,0,0,2,766,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1,UDP-lag
275921,172.16.0.5-192.168.50.1-43351-13670-17,172.16.0.5,43351,192.168.50.1,13670,17,04:45.9,110581,4,0,1446,0,393,330,361.5,36.37306696,0,0,0,0,13076.38744,36.17257938,36860.33333,63841.37204,110578,1,110581,36860.33333,63841.37204,110578,1,0,0,0,0,0,0,0,0,0,-4,0,36.17257938,0,330,393,355.2,34.50652112,1190.7,0,0,0,0,0,0,0,0,0,444,361.5,0,-4,0,0,0,0,0,0,4,1446,0,0,-1,-1,3,-1,0,0,0,0,0,0,0,0,0,1,UDP-lag
231388,172.16.0.5-192.168.50.1-37756-52783-17,172.16.0.5,37756,192.168.50.1,52783,17,04:45.9,107881,4,0,1398,0,369,330,349.5,22.5166605,0,0,0,0,12958.72304,37.07789138,35960.33333,62283.39234,107879,1,107881,35960.33333,62283.39234,107879,1,0,0,0,0,0,0,0,0,0,-4,0,37.07789138,0,330,369,345.6,21.36117974,456.3,0,0,0,0,0,0,0,0,0,432,349.5,0,-4,0,0,0,0,0,0,4,1398,0,0,-1,-1,3,-1,0,0,0,0,0,0,0,0,0,1,UDP-lag
